BINCODE	NAME
2.4.4.2.5.2	Cellular respiration.oxidative phosphorylation.cytochrome c.CCM cytochrome c maturation system (system I).apocytochrome-heme assembly complex.CcmFn component
9.1.3.1	Secondary metabolism.terpenoids.terpenoid synthesis.mono-/sesquiterpene-/diterpene synthase
12.1.3	Chromatin organisation.histones.H2B-type histone
12.1.4	Chromatin organisation.histones.H3-type histone
12.1.5	Chromatin organisation.histones.H4-type histone
12.3.5.1.3	Chromatin organisation.histone modifications.histone ubiquitination.PRC1 histone mono-ubiquitination complex.Psc-type EMF1 component
15.3.6.1.7	RNA biosynthesis.RNA polymerase II-dependent transcription.MEDIATOR transcription co-activator complex.head module.MED20 component
15.5.5	RNA biosynthesis.siRNA biogenesis.CLSY3/4 regulator protein
15.7.14	RNA biosynthesis.transcriptional activation.MADS box transcription factor
20.2.1	Cytoskeleton.microfilament network.actin filament protein
24.1.1.1.2	Solute transport.primary active transport.V-type ATPase complex.membrane V0 subcomplex.subunit c
24.1.2.3.1	Solute transport.primary active transport.P-type ATPase superfamily.P3 family.AHA P3A-type proton-translocating ATPase
35.2	not assigned.not annotated
50.2.3	Enzyme classification.EC_2 transferases.EC_2.3 acyltransferase
