Number of genes	536483
Number of genes in orthogroups	480594
Number of unassigned genes	55889
Percentage of genes in orthogroups	89.6
Percentage of unassigned genes	10.4
Number of orthogroups	35458
Number of species-specific orthogroups	540
Number of genes in species-specific orthogroups	2186
Percentage of genes in species-specific orthogroups	0.4
Mean orthogroup size	13.6
Median orthogroup size	11.0
G50 (assigned genes)	21
G50 (all genes)	19
O50 (assigned genes)	6653
O50 (all genes)	8077
Number of orthogroups with all species present	10141
Number of single-copy orthogroups	181
Date	2019-04-15
Orthogroups file	Orthogroups.csv
Unassigned genes file	Orthogroups_UnassignedGenes.csv
Overall statistics	Statistics_Overall.csv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.csv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	18656	52.6	79838	16.6
'1	12314	34.7	210151	43.7
'2	2997	8.5	91062	18.9
'3	773	2.2	33828	7.0
'4	290	0.8	16519	3.4
'5	128	0.4	8990	1.9
'6	91	0.3	7640	1.6
'7	46	0.1	4484	0.9
'8	25	0.1	2718	0.6
'9	24	0.1	2953	0.6
'10	23	0.1	3110	0.6
11-15	59	0.2	9972	2.1
16-20	17	0.0	3956	0.8
21-50	15	0.0	5373	1.1
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	540
2	10595
3	2826
4	1553
5	1008
6	689
7	601
8	642
9	723
10	1036
11	2012
12	3092
13	10141
