	Capsicumannuumglabriusculum	Capsicumannuummorelia	DaturastramoniumTeo0	DaturastramoniumTic23	Nicotianaattenuata	Nicotianasylvestris	Nicotianatabacum	Nicotianatomentosiformis	Petuniainflata	Solanumlycopersicum	Solanumpennellii	Solanumpimpinellifolium	Solanumtuberosum
Number of genes	34476	34899	30934	33856	33449	54497	69500	53753	36697	35768	48923	34727	35004
Number of genes in orthogroups	31378	32625	29251	31747	30869	49978	59448	49341	32244	33305	35540	32830	32038
Number of unassigned genes	3098	2274	1683	2109	2580	4519	10052	4412	4453	2463	13383	1897	2966
Percentage of genes in orthogroups	91.0	93.5	94.6	93.8	92.3	91.7	85.5	91.8	87.9	93.1	72.6	94.5	91.5
Percentage of unassigned genes	9.0	6.5	5.4	6.2	7.7	8.3	14.5	8.2	12.1	6.9	27.4	5.5	8.5
Number of orthogroups containing species	19062	18588	21195	21714	19079	18662	21435	18403	18756	23536	19747	23253	19443
Percentage of orthogroups containing species	53.8	52.4	59.8	61.2	53.8	52.6	60.5	51.9	52.9	66.4	55.7	65.6	54.8
Number of species-specific orthogroups	47	22	4	1	16	25	95	22	56	9	223	1	19
Number of genes in species-specific orthogroups	160	73	9	2	91	123	446	71	322	21	815	2	51
Percentage of genes in species-specific orthogroups	0.5	0.2	0.0	0.0	0.3	0.2	0.6	0.1	0.9	0.1	1.7	0.0	0.1


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	16396	16870	14263	13744	16379	16796	14023	17055	16702	11922	15711	12205	16015
'1	13600	13443	16900	16848	13517	7959	4002	7727	12308	18260	13268	18379	13870
'2	3452	3176	3023	3301	3763	4384	11596	4359	3980	3587	4111	3319	3493
'3	945	872	691	808	952	2280	1830	2335	1327	873	1262	767	981
'4	401	332	220	277	305	1334	2273	1408	494	329	444	321	403
'5	198	186	119	151	153	893	479	848	185	164	191	160	203
'6	111	104	56	61	100	558	460	502	138	105	120	77	121
'7	64	82	39	62	32	345	172	338	68	66	63	63	78
'8	56	60	32	36	38	258	155	235	52	41	46	45	61
'9	50	48	16	24	34	165	73	188	30	20	35	20	35
'10	40	38	16	21	24	116	48	83	34	13	25	18	30
11-15	81	105	42	60	69	249	148	237	78	47	55	40	82
16-20	21	56	18	23	42	59	56	79	18	17	31	15	34
21-50	34	70	22	41	46	58	110	61	39	12	76	25	47
51-100	7	16	1	1	4	4	29	3	5	2	13	4	5
101-150	2	0	0	0	0	0	2	0	0	0	4	0	0
151-200	0	0	0	0	0	0	1	0	0	0	3	0	0
201-500	0	0	0	0	0	0	1	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
