BINCODE	NAME
1.1.1.1.1	Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb1/2/3-type component
5.1.9.2	Lipid metabolism.fatty acid synthesis.fatty acid desaturation and elongation.omega-3/omega-6 fatty acid desaturase
7.3.1	Coenzyme metabolism.S-adenosyl methionine (SAM) cycle.S-adenosyl methionine synthetase
9.1.3.1	Secondary metabolism.terpenoids.terpenoid synthesis.mono-/sesquiterpene-/diterpene synthase
11.4.3.1	Phytohormones.cytokinin.conjugation and degradation.UDP-dependent glycosyl transferase
12.1.3	Chromatin organisation.histones.H2B-type histone
15.3.6.1.7	RNA biosynthesis.RNA polymerase II-dependent transcription.MEDIATOR transcription co-activator complex.head module.MED20 component
15.7.14	RNA biosynthesis.transcriptional activation.MADS box transcription factor
18.8.1.12	Protein modification.phosphorylation.TKL kinase superfamily.LRR-XII kinase
18.8.1.24.1	Protein modification.phosphorylation.TKL kinase superfamily.G-Lectin kinase families.SD-1 kinase
18.12.1.4	Protein modification.S-glutathionylation and deglutathionylation.glutathione S-transferase activities.class tau
19.4.1.5.4.1.4.6	Protein degradation.peptide tagging.Ubiquitin (UBQ)-anchor addition (ubiquitylation).UBQ-ligase E3 activities.Cullin-based ubiquitylation complexes.SKP1-CUL1-FBX (SCF) E3 ligase complexes.F-BOX substrate adaptor components.FBX component
19.4.5.2	Protein degradation.peptide tagging.Membrane-anchored-Ubiquitin (MUB)-anchor addition.UBC-subclass-6 conjugation E2 protein
20.2.1	Cytoskeleton.microfilament network.actin filament protein
24.1.2.3.1	Solute transport.primary active transport.P-type ATPase superfamily.P3 family.AHA P3A-type proton-translocating ATPase
24.1.4.1	Solute transport.primary active transport.VHP PPase family.VHP1 proton-translocating pyrophosphatase
24.2.10.2	Solute transport.carrier-mediated transport.OPT family.oligopeptide transporter (OPT-type)
26.3.2.3.1	External stimuli response.temperature.Hsp (heat-shock-responsive protein) families.Hsp70 family.DnaK protein
26.3.2.5.2	External stimuli response.temperature.Hsp (heat-shock-responsive protein) families.sHsp (small heat-shock-responsive protein) families.class-C-II protein
35.2	not assigned.not annotated



50.1.1	Enzyme classification.EC_1 oxidoreductases.EC_1.1 oxidoreductase acting on CH-OH group of donor
50.1.13	Enzyme classification.EC_1 oxidoreductases.EC_1.14 oxidoreductase acting on paired donor with incorporation or reduction of molecular oxygen
50.2.3	Enzyme classification.EC_2 transferases.EC_2.3 acyltransferase

TROPANE ALKALOIDS
