BINCODE	NAME
1.1.1.2.9	Photosynthesis.photophosphorylation.photosystem II.PS-II complex.component PsbR
1.1.1.6.2.2	Photosynthesis.photophosphorylation.photosystem II.LHC-related protein groups.two-helix LHC-related protein group.SEP2 protein
1.2.1.2.6	Photosynthesis.calvin cycle.ribulose-1,5-bisphosphat carboxylase/oxygenase (RuBisCo) activity.RuBisCo assembly.RAF2 assembly factor
2.4.1.4.6	Cellular respiration.oxidative phosphorylation.NADH dehydrogenase complex.non-core components.carbonic anhydrase component
3.1.2.7	Carbohydrate metabolism.sucrose metabolism.synthesis.sucrose-phosphate synthase
3.8.5.1	Carbohydrate metabolism.nucleotide sugar biosynthesis.UDP-D-xylose synthesis.UDP-D-glucuronic acid decarboxylase
3.8.8	Carbohydrate metabolism.nucleotide sugar biosynthesis.UDP-D-glucose 4-epimerase
5.2.3.2.1	Lipid metabolism.glycerolipid synthesis.phosphatidylcholine.methylation pathway.phosphatidylethanolamine N-methyltransferase
6.1.2.4	Nucleotide metabolism.purines.catabolism.xanthine dehydrogenase
7.8.3.1	Coenzyme metabolism.prenylquinone synthesis.plastoquinone synthesis.SPS3 solanesyl diphosphate synthase
9.3.3.2.5	Secondary metabolism.nitrogen-containing secondary compounds.glucosinolates.glucosinolate degradation.nitrilase
10.1.2	Redox homeostasis.reactive oxygen generation.xanthine dehydrogenase
11.3.1.1	Phytohormones.brassinosteroid.synthesis.steroid 22-alpha-hydroxylase (DWF4)
11.6.3.1	Phytohormones.gibberellin.conjugation and degradation.gibberellin modification enzyme
12.5.4.2.2	Chromatin organisation.DNA methylation.ROS1-mediated DNA demethylation.MBD7 ROS1-recruitment complex.IDM1 component
14.2.1	DNA damage response.BRCA1–BARD1 DNA-damage response heterodimer.BRCA1|BARD1 component
15.3.2.7.1.1	RNA biosynthesis.RNA polymerase II-dependent transcription.pre-initiation complex.TATA box-binding protein (TBP) regulation.NC2 regulator complex.alpha component
15.5.2	RNA biosynthesis.siRNA biogenesis.RDR2 ssRNA polymerase
15.7.4.7.1	RNA biosynthesis.transcriptional activation.bZIP superfamily.TGA transcription factor activity.TGA transcription factor
15.7.16	RNA biosynthesis.transcriptional activation.C3H zinc finger transcription factor
15.8.2	RNA biosynthesis.transcriptional repression.LUG transcriptional co-repressor
16.4.5.2.1	RNA processing.RNA splicing.spliceosome-associated non-snRNP MOS4-associated complex (MAC).associated components.MAC5 component
16.4.6.3	RNA processing.RNA splicing.spliceosome-associated non-snRNP factors.RS31/40/41 splicing factor
16.5.1.2.2	RNA processing.ribonuclease activities.RNase P ribonuclease activities.RNA-dependent RNase P complex.RPP30/POP2 component
16.10.2.2	RNA processing.organelle machineries.ribonuclease activities.RNase R exoribonuclease
17.2.4	Protein biosynthesis.aminoacyl-tRNA synthetase activities.aspartate-tRNA ligase
17.2.17	Protein biosynthesis.aminoacyl-tRNA synthetase activities.proline-tRNA ligase
18.8.1.29.1	Protein modification.phosphorylation.TKL kinase superfamily.URK kinase families.URK-1 kinase
18.8.1.34	Protein modification.phosphorylation.TKL kinase superfamily.RLCK-IV kinase
18.8.2.1	Protein modification.phosphorylation.STE kinase superfamily.MAPKK kinase
18.8.5.1.2	Protein modification.phosphorylation.CAMK kinase superfamily.SNF1-related SnRK1 kinase complex.beta-type regulatory subunit
18.10.1.1.6	Protein modification.dephosphorylation.serine/threonine protein phosphatase superfamily.PPP Fe-Zn-dependent phosphatase families.PP7 phosphatase
18.10.1.2.4	Protein modification.dephosphorylation.serine/threonine protein phosphatase superfamily.PPM/PP2C Mn/Mg-dependent phosphatase families.clade D phosphatase
19.5.5.6.5	Protein degradation.peptidase families.metallopeptidase activities.aminopeptidase activities.M1 neutral/aromatic-hydroxyl amino acid aminopeptidase
20.4.3.1	Cytoskeleton.cytoskeleton-nucleoskeleton linking.nuclear lamina.CRWN lamin-like protein
21.3.2.1.2	Cell wall.pectin.rhamnogalacturonan I.synthesis.beta-1,4-galactosyltransferase
21.3.2.2.1	Cell wall.pectin.rhamnogalacturonan I.modification and degradation.beta-galactosidase
21.3.2.2.2.2	Cell wall.pectin.rhamnogalacturonan I.modification and degradation.alpha-L-arabinofuranosidase activities.bifunctional BXL-type alpha-L-arabinofuranosidase and beta-D-xylosidase
21.4.1.1.1.3	Cell wall.cell wall proteins.hydroxyproline-rich glycoproteins.arabinogalactan proteins (AGPs).glycosylation.AGP beta-1,3-galactosyltransferase
21.9.1.4	Cell wall.cutin and suberin.cuticular lipid formation.omega-hydroxy fatty acyl dehydrogenase
22.6.2.1	Vesicle trafficking.endomembrane trafficking.vacuolar sorting.VSR vacuolar sorting receptor
22.6.2.2.1	Vesicle trafficking.endomembrane trafficking.vacuolar sorting.AP-4 vacuole cargo adaptor complex.AP4E large epsilon subunit
