Annotation	P.Value.Adjusted	Annotation.Name
IPR032675	1.166E-05	Leucine-rich repeat domain superfamily
IPR036396	7.888E-03	Cytochrome P450 superfamily
IPR002401	4.539E-03	"Cytochrome P450, E-class, group I"
IPR001128	5.179E-03	Cytochrome P450
IPR008543	1.142E-25	Uncharacterised protein family Ycf2
IPR019557	8.031E-11	"Aminotransferase-like, plant mobile domain"
IPR006904	3.543E-06	Protein of unknown function DUF716
IPR036397	3.466E-03	Ribonuclease H superfamily
IPR015300	2.277E-03	DNA-binding pseudobarrel domain superfamily
IPR003480	8.572E-05	Transferase
IPR023213	5.063E-04	Chloramphenicol acetyltransferase-like domain superfamily
IPR008949	1.909E-04	Isoprenoid synthase domain superfamily
IPR036408	3.878E-04	Photosystem I PsaA/PsaB superfamily
IPR001280	1.187E-05	Photosystem I PsaA/PsaB
IPR007125	5.791E-03	Histone H2A/H2B/H3
IPR009072	5.200E-07	Histone-fold
IPR001810	1.048E-07	F-box domain
IPR036047	1.114E-09	F-box-like domain superfamily
IPR017451	1.032E-21	F-box associated interaction domain
IPR036879	1.212E-35	"Transcription factor, MADS-box superfamily"
IPR002100	3.387E-35	"Transcription factor, MADS-box"
IPR012337	1.130E-04	Ribonuclease H-like superfamily
IPR012340	4.151E-17	"Nucleic acid-binding, OB-fold"
IPR036691	9.735E-10	Endonuclease/exonuclease/phosphatase superfamily
IPR001951	7.056E-03	Histone H4
IPR019809	2.271E-03	"Histone H4, conserved site"
IPR000194	2.313E-04	"ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain"
IPR036121	8.273E-03	"ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain superfamily"
IPR023366	2.701E-04	"ATP synthase subunit alpha, N-terminal domain-like superfamily"
IPR038376	5.216E-04	"ATP synthase, alpha subunit, C-terminal domain superfamily"
IPR000793	7.648E-04	"ATP synthase, alpha subunit, C-terminal"
IPR001906	1.704E-05	"Terpene synthase, N-terminal domain"
IPR036965	1.364E-04	"Terpene synthase, N-terminal domain superfamily"
IPR008930	1.140E-03	Terpenoid cyclases/protein prenyltransferase alpha-alpha toroid
IPR005630	5.064E-05	"Terpene synthase, metal-binding domain"
IPR025558	1.802E-11	Domain of unknown function DUF4283
