### Ticuman Genome ###

Repeat Classes
==============
Total Sequences: 27915
Total Length: 1482573840 bp
Ancestral Repeats: 973862 ( 1065959287 bp )
Lineage Specific Repeats: 141362 ( 59161787 bp )
Class                  Count        bpMasked    %masked
=====                  =====        ========     =======
ARTEFACT               1            52           0.00% 
DNA                    9163         2480299      0.17% 
    Academ-1           52           2514         0.00% 
    Academ-2           3            148          0.00% 
    Academ-H           1            41           0.00% 
    CMC                357          52093        0.00% 
    CMC-Chapaev        285          11133        0.00% 
    CMC-Chapaev-3      30           1199         0.00% 
    CMC-EnSpm          17517        6823405      0.46% 
    CMC-Transib        189          9113         0.00% 
    Crypton            101          3146         0.00% 
    Crypton-A          12           441          0.00% 
    Crypton-F          7            378          0.00% 
    Crypton-H          186          7602         0.00% 
    Crypton-I          1            62           0.00% 
    Crypton-S          4            165          0.00% 
    Crypton-V          342          12618        0.00% 
    Crypton-X          2            103          0.00% 
    Dada               279          9950         0.00% 
    Ginger             2            147          0.00% 
    Ginger-1           306          13241        0.00% 
    Ginger-2           7            366          0.00% 
    IS3EU              194          6874         0.00% 
    Kolobok            16           840          0.00% 
    Kolobok-E          4            218          0.00% 
    Kolobok-H          3            162          0.00% 
    Kolobok-Hydra      46           2428         0.00% 
    Kolobok-T2         406          13127        0.00% 
    MULE-F             2            42           0.00% 
    MULE-MuDR          36273        11941679     0.81% 
    MULE-NOF           20           894          0.00% 
    MULE-Ricksha       3            166          0.00% 
    Maverick           586          25771        0.00% 
    Maverick-Mavirus   1            35           0.00% 
    Merlin             175          6411         0.00% 
    MuDR               903          235165       0.02% 
    Novosib            9            584          0.00% 
    P                  361          16987        0.00% 
    P-Fungi            4            115          0.00% 
    PIF                16           683          0.00% 
    PIF-HarbS          3            175          0.00% 
    PIF-Harbinger      32309        8813743      0.59% 
    PIF-ISL2EU         70           2725         0.00% 
    PIF-Spy            72           3617         0.00% 
    PiggyBac           71           3485         0.00% 
    PiggyBac-A         2            138          0.00% 
    PiggyBac-X         9            385          0.00% 
    Sola-1             84           3393         0.00% 
    Sola-2             107          4885         0.00% 
    Sola-3             67           2740         0.00% 
    TcMar              2588         923596       0.06% 
    TcMar-Ant1         2            110          0.00% 
    TcMar-Cweed        1            56           0.00% 
    TcMar-Fot1         410          24229        0.00% 
    TcMar-Gizmo        1            49           0.00% 
    TcMar-IS885        3            124          0.00% 
    TcMar-ISRm11       40           1658         0.00% 
    TcMar-Mariner      92           32449        0.00% 
    TcMar-Mogwai       3            155          0.00% 
    TcMar-Pogo         51           16377        0.00% 
    TcMar-Sagan        2            85           0.00% 
    TcMar-Stowaway     25753        4718084      0.32% 
    TcMar-Tc1          311          13141        0.00% 
    TcMar-Tc2          10           455          0.00% 
    TcMar-Tc4          32           1780         0.00% 
    TcMar-Tigger       16           720          0.00% 
    TcMar-m44          4            187          0.00% 
    Zator              9            401          0.00% 
    Zisupton           1121         42223        0.00% 
    hAT                223          8669         0.00% 
    hAT-Ac             17952        7836209      0.53% 
    hAT-Blackjack      124          4705         0.00% 
    hAT-Charlie        561          23277        0.00% 
    hAT-Pegasus        6            257          0.00% 
    hAT-Tag1           4306         1877787      0.13% 
    hAT-Tip100         8614         1863390      0.13% 
    hAT-hAT19          6            272          0.00% 
    hAT-hAT5           9            270          0.00% 
    hAT-hAT6           2            38           0.00% 
    hAT-hATm           127          5501         0.00% 
    hAT-hATw           43           1463         0.00% 
    hAT-hATx           6            272          0.00% 
    hAT-hobo           10           641          0.00% 
LINE                   2            87           0.00% 
    CR1                164          9492         0.00% 
    CR1-Zenon          4            170          0.00% 
    CRE                23           884          0.00% 
    CRE-Ambal          12           494          0.00% 
    CRE-Odin           11           564          0.00% 
    Deceiver           1            32           0.00% 
    Dong-R4            11           515          0.00% 
    Dualen             2            84           0.00% 
    I                  92           4372         0.00% 
    I-Jockey           154          13117        0.00% 
    L1                 18075        14220019     0.96% 
    L1-DRE             21           1238         0.00% 
    L1-Tx1             224          10748        0.00% 
    L2                 1093         51486        0.00% 
    Penelope           830          42671        0.00% 
    Proto1             10           610          0.00% 
    Proto2             7            314          0.00% 
    R1                 1640         1037666      0.07% 
    R1-LOA             8            440          0.00% 
    R2                 187          11343        0.00% 
    R2-Hero            19           1086         0.00% 
    R2-NeSL            101          9465         0.00% 
    RTE                2            109          0.00% 
    RTE-BovB           20240        7982317      0.54% 
    RTE-ORTE           3            78           0.00% 
    RTE-RTE            5            237          0.00% 
    RTE-X              113          5025         0.00% 
    Rex-Babar          24           986          0.00% 
    Tad1               30           1888         0.00% 
LTR                    4056         1380033      0.09% 
    Cassandra          3            143          0.00% 
    Caulimovirus       4116         6681735      0.45% 
    Copia              63039        58310357     3.93% 
    DIRS               101          4457         0.00% 
    DIRS-Q             3            193          0.00% 
    ERV1               706          27857        0.00% 
    ERV4               23           811          0.00% 
    ERVK               224          10264        0.00% 
    ERVL               68           2732         0.00% 
    ERVL-MaLR          1            41           0.00% 
    Gypsy              466503       909316794    61.33% 
    Ngaro              84           4504         0.00% 
    Pao                1824         816430       0.06% 
    Viper              2            12           0.00% 
Other                  1            32           0.00% 
    DNA_virus          14           734          0.00% 
RC                     --           --           --   
    Helitron           19335        9046477      0.61% 
    Helitron-2         8            289          0.00% 
